"Location ID","Location","Value","Rank","Anomaly (1901-2000 base period)","1901-2000 Mean"
AL-001,"Autauga County",66.9,125,2.9,64
AL-003,"Baldwin County",69.7,126,2.9,66.8
AL-005,"Barbour County",67.7,126,2.9,64.8
AL-007,"Bibb County",65.4,125,2.6,62.8
AL-009,"Blount County",64.6,126,4.0,60.6
AL-011,"Bullock County",67.5,126,3.4,64.1
AL-013,"Butler County",67.2,124,2.7,64.5
AL-015,"Calhoun County",65.2,126,4.2,61
AL-017,"Chambers County",64.5,126,2.9,61.6
AL-019,"Cherokee County",64.2,126,3.6,60.6
AL-021,"Chilton County",64.9,122,2.2,62.7
AL-023,"Choctaw County",67.2,126,2.7,64.5
AL-025,"Clarke County",67.7,126,2.9,64.8
AL-027,"Clay County",64.1,126,3.4,60.7
AL-029,"Cleburne County",64.2,126,4.3,59.9
AL-031,"Coffee County",68.0,125,2.6,65.4
AL-033,"Colbert County",63.3,126,3.3,60
AL-035,"Conecuh County",67.6,124,2.2,65.4
AL-037,"Coosa County",65.1,126,2.9,62.2
AL-039,"Covington County",67.8,123,2.2,65.6
AL-041,"Crenshaw County",67.2,125,2.8,64.4
AL-043,"Cullman County",63.8,126,3.5,60.3
AL-045,"Dale County",68.3,126,2.7,65.6
AL-047,"Dallas County",67.3,125,2.9,64.4
AL-049,"DeKalb County",62.6,126,3.3,59.3
AL-051,"Elmore County",67.1,126,3.3,63.8
AL-053,"Escambia County",68.4,125,2.4,66
AL-055,"Etowah County",64.8,126,4.0,60.8
AL-057,"Fayette County",65.1,126,3.1,62
AL-059,"Franklin County",63.1,126,3.1,60
AL-061,"Geneva County",68.6,125,2.5,66.1
AL-063,"Greene County",66.4,126,2.5,63.9
AL-065,"Hale County",66.3,126,2.6,63.7
AL-067,"Henry County",68.5,126,2.8,65.7
AL-069,"Houston County",68.9,124,2.5,66.4
AL-071,"Jackson County",62.7,126,3.3,59.4
AL-073,"Jefferson County",65.4,126,3.6,61.8
AL-075,"Lamar County",65.3,126,3.3,62
AL-077,"Lauderdale County",63.0,126,3.6,59.4
